farm_name,location,num_cows,num_cows_lactating,num_cows_other,farm_size,irrigating?,irrigation_percentage,rainfall,evaporation,avg_daily_water_usage
49,Warragul,882,634,248,2623,no,0,1018,1150,82056.0
50,Leongatha,1001,707,294,1447,yes,69.28155457244344,952,1100,8608016.251407059
51,Charlton,1083,734,349,1848,yes,57.478292982313924,431,1650,9106285.6765558
52,Ballarat,719,470,249,4576,yes,68.04792410621161,691,1150,26507520.211259764
53,Ballarat,431,278,153,5977,yes,82.8673255193373,691,1150,42089743.65286994
54,Ballarat,899,542,357,4975,no,0,691,1150,79573.0
55,Colac,819,568,251,5105,no,0,726,1250,98583.0
56,Colac,1072,696,376,5537,yes,81.55764636512487,726,1250,38407920.46408411
57,Mildura,1022,721,301,5797,yes,51.066327327896076,282,1950,25226015.36424658
58,Wangaratta,802,520,282,3606,yes,65.49556482944244,636,1350,20144602.564991657
59,Colac,1002,638,364,2371,yes,60.895103335998265,726,1250,12371432.953119155
60,Alexandra,1069,736,333,6281,no,0,708,1350,135954.0
61,Benalla,985,800,185,4406,no,0,668,1350,117200.0
62,Bairnsdale,790,544,246,4703,no,0,710,1100,61402.00000000001
63,Warnambool,1359,819,540,4915,no,0,741,1250,129527.99999999999
64,Leongatha,593,394,199,2324,yes,37.51553136800643,952,1100,7449247.874099088
65,Horsham,468,294,174,4513,yes,61.460422519232495,444,1550,23572687.16520237
66,Alexandra,123,80,43,10320,yes,73.42195891491174,708,1350,64320064.46008034
67,Wangaratta,1070,813,257,4077,no,0,636,1350,77890.0
68,Colac,482,340,142,5978,no,0,726,1250,54880.0
69,Wangaratta,248,158,90,7786,yes,53.173103447403534,636,1350,35157238.84067874
70,Kerang,706,460,246,4563,yes,62.913496417787826,372,1650,24442554.49618103
71,Orbost,1063,705,358,4280,no,0,845,1100,111450.0
72,Bendigo,647,399,248,8111,no,0,478,1400,75344.0
73,Wangaratta,850,545,305,1141,yes,67.66493219634705,636,1350,6658376.709670034
74,Swan Hill,926,568,358,3501,yes,76.75449414152084,349,1700,22920064.86618585
75,Wangaratta,1220,837,383,1673,yes,58.889983685162896,636,1350,8490807.147396903
76,Bendigo,800,515,285,1643,no,0,478,1400,66540.0
77,Warnambool,1261,885,376,1849,yes,77.99200599976412,741,1250,12382226.684470763
78,Kerang,962,619,343,6413,yes,76.6520829793948,372,1650,41832868.61742391
79,Horsham,1090,779,311,2674,no,0,444,1550,93444.0
80,Warnambool,382,271,111,4057,no,0,741,1250,40845.0
81,Mildura,781,581,200,4396,no,0,282,1950,90368.0
82,Mildura,622,443,179,7558,yes,71.06171636912028,282,1950,45640064.46821263
83,Alexandra,732,526,206,8037,yes,71.10023878324763,708,1350,48549866.38309858
84,Leongatha,900,603,297,4337,yes,56.96982862446603,952,1100,21064157.314189516
85,Kerang,846,591,255,4794,no,0,372,1650,84042.0
86,Bendigo,849,677,172,3128,no,0,478,1400,94140.0
87,Warnambool,820,510,310,1992,yes,45.8114745949026,741,1250,7812495.538947811
88,Horsham,957,664,293,4963,yes,76.49062303692037,444,1550,32320255.79616285
89,Ballarat,385,268,117,6611,no,0,691,1150,40935.0
90,Ballarat,969,693,276,6287,no,0,691,1150,96936.0
91,Sale,1028,604,424,2899,yes,75.6106299856144,607,1300,18686522.009782493
92,Colac,433,239,194,4777,no,0,726,1250,43230.0
93,Mildura,1116,691,425,2683,yes,92.29471286862184,282,1950,21153833.27035211
94,Benalla,768,500,268,6897,no,0,668,1350,69420.0
95,Bendigo,797,530,267,1496,yes,87.4736144810983,478,1400,11173032.948872175
96,Alexandra,1012,713,299,3215,yes,55.22663252378939,708,1350,15198558.031875229
97,Colac,971,599,372,4598,yes,60.099630441443004,726,1250,23552594.6123291
98,Hamilton,904,592,312,6163,yes,61.190123447438936,687,1300,32106463.20355327
99,Ballarat,957,620,337,7885,yes,52.556500091485944,691,1150,35263837.23339739
100,Bendigo,747,477,270,4359,no,0,478,1400,67158.0
101,Sale,924,635,289,7475,yes,83.57155334532595,607,1300,53128990.04982316
102,Swan Hill,664,495,169,4851,no,0,349,1700,76880.0
103,Bendigo,293,218,75,3635,yes,51.41977426027698,478,1400,15892792.337742386
104,Leongatha,1189,911,278,4099,yes,77.50912037542254,952,1100,27076851.89062839
105,Bendigo,923,667,256,3890,no,0,478,1400,105856.0
106,Horsham,1103,658,445,4372,no,0,444,1550,89868.0
107,Mildura,981,789,192,2616,yes,66.62566124362331,282,1950,14886759.979256349
108,Leongatha,734,480,254,5245,yes,76.02645949085492,952,1100,33924417.66110656
109,Orbost,1036,722,314,5214,no,0,845,1100,110190.0
110,Mildura,1643,1004,639,6249,no,0,282,1950,190859.0
111,Wangaratta,748,468,280,3043,yes,50.43380182167765,636,1350,13097019.902523397
112,Charlton,871,567,304,4999,yes,47.44072167127492,431,1650,20200115.94715727
113,Alexandra,714,422,292,6657,yes,78.64135675305627,708,1350,44479121.49538547
114,Warnambool,792,523,269,8617,yes,72.35576810598883,741,1250,52970856.91540098
115,Warragul,338,230,108,6936,yes,69.72244651657086,1018,1150,41083158.23273445
116,Mildura,497,362,135,7488,yes,82.3322572431418,282,1950,52369112.57762412
117,Hamilton,1193,879,314,3720,yes,36.91278590961066,687,1300,11748593.881353004
118,Portland,634,340,294,2887,yes,66.43123638353892,837,1350,16331430.945011426
119,Portland,793,547,246,6550,yes,59.17858961933507,837,1350,32964561.20150394
120,Swan Hill,562,393,169,1912,yes,45.83074329320813,349,1700,7496855.710459225
121,Bairnsdale,1037,718,319,5951,no,0,710,1100,95407.0
122,Ballarat,839,591,248,3489,yes,68.82814577786206,691,1150,20440480.6705312
123,Hamilton,1106,730,376,2919,yes,46.761286343943965,687,1300,11669352.05589872
124,Benalla,661,431,230,2931,no,0,668,1350,45980.0
125,Warragul,1166,895,271,4890,no,0,1018,1150,110695.0
126,Sale,1035,700,335,3016,no,0,607,1300,87300.0
127,Bendigo,956,587,369,1851,no,0,478,1400,111197.0
128,Portland,1331,878,453,2496,no,0,837,1350,92890.0
129,Bairnsdale,982,658,324,5918,yes,82.31502854017458,710,1100,41460628.56250692
130,Warnambool,1158,746,412,6789,no,0,741,1250,96336.0
131,Warnambool,1244,787,457,5015,yes,43.542161974022115,741,1250,18644100.782977317
132,Alexandra,1535,1092,443,4054,yes,67.89099069730274,708,1350,23479237.574466255
133,Mildura,1504,979,525,3235,yes,40.47960907015929,282,1950,11270711.804472595
134,Charlton,553,365,188,4997,no,0,431,1650,38600.0
135,Wangaratta,423,291,132,3816,yes,68.53709196301222,636,1350,22235535.26854163
136,Swan Hill,604,397,207,2349,no,0,349,1700,42110.0
137,Alexandra,892,625,267,2517,no,0,708,1350,88690.0
138,Orbost,1146,719,427,2818,no,0,845,1100,126192.0
139,Kerang,1398,957,441,5444,no,0,372,1650,128193.0
140,Portland,446,310,136,5372,no,0,837,1350,31600.0
141,Charlton,690,449,241,7199,yes,92.68806624617923,431,1650,56683241.07647296
142,Kerang,1054,675,379,4676,yes,62.93957320790322,372,1650,25101718.059451595
143,Hamilton,952,606,346,5265,no,0,687,1300,65780.0
144,Benalla,1154,698,456,3741,yes,80.62875531872244,668,1350,25733210.577449802
145,Benalla,443,311,132,4895,no,0,668,1350,50368.0
146,Orbost,1007,697,310,4869,yes,84.09160423393284,845,1100,34834856.32354466
147,Benalla,284,190,94,2787,no,0,668,1350,35820.0
148,Wangaratta,860,566,294,6452,yes,67.88590927445883,636,1350,37257022.37903566
149,Swan Hill,363,246,117,1435,yes,56.8652305502736,349,1700,6968929.287610469
150,Wangaratta,1339,872,467,4163,yes,49.78270296781825,636,1350,17709959.45765817
151,Charlton,809,522,287,3584,no,0,431,1650,67332.0
152,Warragul,1228,780,448,4319,yes,82.17511498984902,1018,1150,30265738.47768507
153,Mildura,597,395,202,2005,yes,74.59128839862362,282,1950,12738648.106014328
154,Warnambool,435,294,141,3182,yes,61.58025907626702,741,1250,16672937.38238845
155,Benalla,568,407,161,5419,yes,55.54068986702022,668,1350,25588419.1133069
156,Ballarat,720,463,257,6193,yes,53.09712663954927,691,1150,27972701.983005702
157,Bairnsdale,703,512,191,5515,no,0,710,1100,50510.0
158,Benalla,628,388,240,3359,yes,53.19872882885552,668,1350,15221756.772652987
159,Bairnsdale,765,502,263,3037,no,0,710,1100,63972.0
160,Colac,531,389,142,6201,no,0,726,1250,61152.0
161,Orbost,650,424,226,1622,yes,74.68629041303528,845,1100,10344558.508048682
162,Bendigo,899,565,334,2821,yes,69.24464887353078,478,1400,16683664.040058188
163,Warnambool,1694,1114,580,3488,yes,73.2935560452365,741,1250,21862207.266238563
164,Hamilton,577,429,148,1751,yes,60.87459818517925,687,1300,9121509.93610626
165,Bairnsdale,710,443,267,4006,yes,70.919047215842,710,1100,24189775.54605729
166,Bairnsdale,1083,769,314,5938,no,0,710,1100,100386.0
167,Wangaratta,883,648,235,7212,no,0,636,1350,114462.0
168,Kerang,1159,730,429,3287,yes,88.35807124291468,372,1650,24728897.027491335
169,Colac,853,592,261,4785,yes,81.82422522435994,726,1250,33313633.24507698
170,Benalla,1223,880,343,4199,no,0,668,1350,122569.99999999999
171,Leongatha,580,354,226,2905,yes,81.71800364271009,952,1100,20206787.245400522
172,Bairnsdale,1840,1222,618,6549,no,0,710,1100,154392.0
173,Wangaratta,703,480,223,6564,yes,48.31139156207636,636,1350,26968137.731497135
174,Horsham,821,569,252,6470,yes,39.83323139358488,444,1550,21936713.87397686
175,Sale,1760,1203,557,3424,no,0,607,1300,210953.0
176,Charlton,1032,679,353,3293,yes,62.22562052100888,431,1650,17476988.146044154
177,Benalla,1252,827,425,6706,no,0,668,1350,96151.00000000001
178,Warragul,909,590,319,1313,no,0,1018,1150,94725.0
179,Charlton,718,503,215,2317,yes,63.75984001947711,431,1650,12604263.591223652
180,Charlton,851,645,206,5339,yes,82.40441466425807,431,1650,37401065.00877426
181,Ballarat,696,470,226,1211,no,0,691,1150,58680.0
182,Bairnsdale,454,325,129,3312,no,0,710,1100,45430.0
183,Bairnsdale,707,493,214,4273,no,0,710,1100,65182.0
184,Kerang,1031,732,299,4584,yes,59.880176166975914,372,1650,23398942.04711907
185,Warnambool,1471,1037,434,7900,yes,50.63012872596816,741,1250,34050794.297286056
186,Charlton,1137,786,351,4802,no,0,431,1650,88473.0
187,Kerang,891,572,319,5186,no,0,372,1650,98736.0
188,Kerang,648,439,209,4781,no,0,372,1650,72912.0
189,Warnambool,929,613,316,6305,yes,85.84655163268317,741,1250,46053661.05770001
190,Colac,756,527,229,7560,yes,14.482216037401358,726,1250,9351009.903712554
191,Mildura,594,412,182,2575,yes,77.82905483813487,282,1950,17063459.101589702
192,Charlton,762,468,294,5747,no,0,431,1650,57354.00000000001
193,Wangaratta,623,440,183,4315,no,0,636,1350,44350.0
194,Orbost,518,328,190,1889,yes,54.8530319706091,845,1100,8833320.819299828
195,Ballarat,600,434,166,3276,no,0,691,1150,73134.0
196,Hamilton,795,489,306,4410,yes,74.72017281227468,687,1300,28053091.703607887
197,Warragul,1030,670,360,6340,no,0,1018,1150,93080.0
198,Orbost,1420,959,461,5421,no,0,845,1100,119724.0
199,Charlton,370,222,148,6764,yes,86.96930840525818,431,1650,49960884.32225222
200,Orbost,709,470,239,3330,no,0,845,1100,49550.0
201,Sale,907,674,233,5306,yes,81.86453675704755,607,1300,36970168.202631734
202,Benalla,999,639,360,7439,yes,47.096509768690204,668,1350,29817227.952687338
203,Sale,1076,624,452,5678,no,0,607,1300,123284.0
204,Orbost,1218,886,332,4522,yes,81.44179611371689,845,1100,31404622.79796595
205,Bairnsdale,841,550,291,5629,yes,61.969867035748216,710,1100,29698744.74165852
206,Leongatha,895,540,355,3172,no,0,952,1100,91425.0
207,Bendigo,1188,735,453,6052,yes,45.47673835925083,478,1400,23504974.468094286
208,Orbost,945,607,338,6006,no,0,845,1100,117828.0
209,Wangaratta,1448,1088,360,4854,no,0,636,1350,168064.0
210,Colac,1361,983,378,4859,yes,53.340883312744175,726,1250,22172463.085650872
211,Mildura,1295,950,345,1511,yes,73.16109290186256,282,1950,9493973.933372006
212,Charlton,826,521,305,3726,yes,40.39165077343014,431,1650,12869655.808651429
213,Ballarat,911,622,289,5889,no,0,691,1150,77052.0
214,Charlton,829,593,236,3118,yes,43.50331506753142,431,1650,11589061.958618378
215,Swan Hill,790,465,325,5455,yes,83.92836954698802,349,1700,38909418.94643542
216,Kerang,758,443,315,4920,yes,32.677623127675254,372,1650,13721666.384241331
217,Bairnsdale,585,394,191,6398,yes,73.01002928479046,710,1100,39701816.864190266
218,Warragul,999,633,366,3310,yes,69.94688011908197,1018,1150,19759760.57898847
219,Wangaratta,1138,753,385,3302,no,0,636,1350,103337.0
220,Bendigo,621,430,191,1589,no,0,478,1400,57135.0
221,Portland,1049,765,284,3697,no,0,837,1350,75400.0
222,Kerang,618,436,182,4158,yes,96.40502803592852,372,1650,34090686.28488367
223,Orbost,1024,651,373,6851,yes,81.70053176670544,845,1100,47631628.221757025
224,Ballarat,258,165,93,2154,yes,61.26959069262978,691,1150,11222112.649127835
225,Sale,659,399,260,1165,yes,70.48878127029067,607,1300,7050332.039367148
226,Portland,601,401,200,4925,yes,51.78157645800892,837,1350,21719653.290406745
227,Portland,1118,815,303,5273,no,0,837,1350,80350.0
228,Sale,1148,745,403,3323,no,0,607,1300,87725.0
229,Orbost,924,617,307,7417,yes,77.98984951686386,845,1100,49157822.08585658
230,Charlton,778,463,315,3567,no,0,431,1650,79185.0
231,Ballarat,1293,926,367,1366,yes,41.27342338127818,691,1150,4932815.854276162
232,Wangaratta,1413,1099,314,5012,no,0,636,1350,134706.0
233,Portland,1159,845,314,3086,no,0,837,1350,124950.0
234,Leongatha,873,565,308,5551,yes,89.16210325503138,952,1100,42096358.940765806
235,Orbost,657,520,137,5892,no,0,845,1100,87210.0
236,Warnambool,770,509,261,5489,no,0,741,1250,69901.0
237,Charlton,170,100,70,5886,no,0,431,1650,20700.0
238,Benalla,1058,651,407,1818,no,0,668,1350,101402.0
239,Colac,1026,700,326,7540,yes,65.21309928808427,726,1250,41825143.45381103
240,Ballarat,838,587,251,2765,no,0,691,1150,95216.0
241,Horsham,572,371,201,5236,no,0,444,1550,39730.0
242,Portland,905,658,247,3951,no,0,837,1350,71489.0
243,Warragul,1041,705,336,1081,yes,82.43550068973937,1018,1150,7665481.319964773
244,Hamilton,716,452,264,6474,no,0,687,1300,49360.0
245,Warnambool,1207,810,397,5336,yes,37.540790202167756,741,1250,17094074.508747768
246,Hamilton,845,568,277,3372,no,0,687,1300,100793.0
247,Bendigo,974,773,201,6145,yes,72.58070695340237,478,1400,37967760.66168617
248,Swan Hill,514,363,151,6375,yes,88.4444780219471,349,1700,47903779.1669819
249,Kerang,1097,799,298,3853,no,0,372,1650,86702.0
250,Bairnsdale,920,619,301,6193,yes,54.17558761538557,710,1100,28565081.97484377
251,Orbost,1606,1034,572,3166,no,0,845,1100,200376.0
252,Kerang,687,481,206,6019,yes,65.42291410275575,372,1650,33483566.7310834
253,Benalla,826,540,286,2272,yes,73.19792713769459,668,1350,14177613.94907219
254,Benalla,1412,966,446,3151,no,0,668,1350,139412.0
255,Sale,283,187,96,2664,yes,48.21371824206324,607,1300,10924528.983831208
256,Wangaratta,941,650,291,1952,yes,69.38593210678644,636,1350,11568111.481026588
257,Alexandra,791,505,286,5238,no,0,708,1350,65640.0
258,Bairnsdale,743,539,204,1857,no,0,710,1100,90644.0
259,Wangaratta,665,469,196,6030,yes,83.87250419026411,636,1350,42970424.36668512
260,Leongatha,918,603,315,6527,yes,78.96407834388413,952,1100,43812263.03467963
261,Charlton,708,512,196,4862,yes,52.90357396827024,431,1650,21885857.780904654
262,Leongatha,1113,710,403,6885,yes,60.158878952424615,952,1100,35275754.73032633
263,Horsham,615,363,252,3707,no,0,444,1550,74952.0
264,Ballarat,902,575,327,6382,no,0,691,1150,68585.0
265,Swan Hill,859,572,287,4671,no,0,349,1700,66121.0
266,Horsham,687,467,220,6416,no,0,444,1550,53196.00000000001
267,Wangaratta,767,507,260,4559,yes,57.32523571777019,636,1350,22271465.771718863
268,Swan Hill,1016,752,264,5903,no,0,349,1700,102704.0
269,Alexandra,1341,880,461,3198,yes,65.47524958091384,708,1350,17939126.41331904
270,Bendigo,1407,1001,406,1246,yes,68.51856944922432,478,1400,7376197.052487962
271,Benalla,625,408,217,9851,no,0,668,1350,47839.00000000001
272,Warnambool,885,586,299,4714,no,0,741,1250,92745.0
273,Orbost,782,566,216,7761,yes,81.7389293795688,845,1100,53929204.769741915
274,Bairnsdale,872,692,180,7598,yes,58.73857931220889,710,1100,37960786.23287403
275,Bairnsdale,1038,697,341,6408,no,0,710,1100,109215.0
276,Swan Hill,1073,615,458,5346,no,0,349,1700,100940.0
277,Sale,810,559,251,1129,yes,57.371712030741506,607,1300,5600341.898855357
278,Bendigo,1082,706,376,7693,no,0,478,1400,97864.0
279,Charlton,1167,775,392,4979,no,0,431,1650,97920.0
280,Benalla,830,478,352,8060,yes,61.62742412299072,668,1350,42223383.05166487
281,Warnambool,489,299,190,3110,no,0,741,1250,40104.0
282,Horsham,1119,770,349,2470,no,0,444,1550,102765.0
283,Benalla,790,544,246,5900,yes,67.25632854096766,668,1350,33761193.15930436
284,Swan Hill,1062,743,319,6144,no,0,349,1700,75390.0
285,Ballarat,1273,842,431,2639,yes,72.18694939507066,691,1150,16283433.376826307
286,Portland,520,337,183,2822,no,0,837,1350,50554.0
287,Benalla,421,267,154,5079,no,0,668,1350,43590.0
288,Orbost,663,387,276,5352,no,0,845,1100,49236.00000000001
289,Benalla,621,491,130,8094,yes,50.23235390206383,668,1350,34584327.673658065
290,Orbost,990,680,310,3957,yes,82.67489451119005,845,1100,27883588.601880714
291,Bairnsdale,587,355,232,3874,yes,102.86100192106531,710,1100,33871296.464800104
292,Orbost,689,419,270,6669,no,0,845,1100,56424.0
293,Alexandra,594,424,170,2649,no,0,708,1350,72114.0
294,Leongatha,773,532,241,2392,no,0,952,1100,65532.0
295,Sale,710,441,269,3571,no,0,607,1300,53603.00000000001
296,Charlton,886,530,356,2167,no,0,431,1650,78260.0
297,Sale,262,184,78,5144,yes,20.92202434339901,607,1300,9160022.947788866
298,Warragul,345,220,125,3691,no,0,1018,1150,23850.0
299,Mildura,1293,885,408,7888,no,0,282,1950,118560.0
300,Bendigo,1116,763,353,3368,yes,57.41531971068391,478,1400,16529754.003192464
301,Mildura,789,597,192,1880,yes,87.2855320042461,282,1950,14030143.430256685
302,Warragul,920,616,304,2967,yes,63.2398770163256,1018,1150,16014660.531168269
303,Bendigo,1529,961,568,5343,yes,66.95975212797214,478,1400,30553100.65344862
304,Portland,1200,817,383,6414,no,0,837,1350,126765.0
305,Leongatha,1070,698,372,5507,yes,47.870156441850284,952,1100,22507502.155949626
306,Wangaratta,883,617,266,4649,yes,64.39645212077302,636,1350,25521092.71853704
307,Mildura,608,375,233,1695,no,0,282,1950,62475.0
308,Warragul,733,546,187,1461,yes,70.5791630038124,1018,1150,8841619.25719913
309,Horsham,640,458,182,1005,yes,60.848849316994624,444,1550,5254099.050741001
310,Kerang,985,652,333,4448,yes,62.85411078572541,372,1650,23810109.44484633
311,Ballarat,1095,672,423,4379,yes,84.54359877841364,691,1150,31502668.484830644
312,Orbost,1638,1121,517,5047,yes,40.48186371565448,845,1100,17547910.569094714
313,Alexandra,852,538,314,3931,yes,41.86641125758152,708,1350,14067496.33340704
314,Bendigo,964,603,361,7593,yes,47.975705808571064,478,1400,31002581.067934223
315,Warnambool,950,559,391,3554,no,0,741,1250,70697.0
316,Bairnsdale,943,647,296,4548,yes,62.650354318525714,710,1100,24282172.576968387
317,Bendigo,709,463,246,5195,no,0,478,1400,74010.0
318,Benalla,717,501,216,5976,no,0,668,1350,50880.0
319,Bairnsdale,492,356,136,5687,yes,12.21985311842596,710,1100,5940317.638572534
320,Portland,384,237,147,4507,yes,50.87285978739622,837,1350,19506689.302974526
321,Ballarat,1031,650,381,4922,yes,44.54600291909839,691,1150,18714783.03583538
322,Kerang,724,548,176,3901,yes,71.68842066475075,372,1650,23797617.617349662
323,Benalla,1318,951,367,5960,no,0,668,1350,94430.0
324,Warnambool,1518,947,571,3198,yes,38.79248568317206,741,1250,10706160.79525874
325,Leongatha,794,534,260,2936,yes,46.338855512262775,952,1100,11624646.167268379
326,Charlton,695,466,229,1747,yes,72.93262107830111,431,1650,10876914.839449229
327,Portland,1025,650,375,6590,yes,75.02325942764759,837,1350,42066131.34204513
328,Wangaratta,811,536,275,5369,no,0,636,1350,79282.0
329,Hamilton,528,326,202,6731,no,0,687,1300,61506.0
330,Portland,317,238,79,4173,no,0,837,1350,41382.0
331,Kerang,1085,705,380,4364,no,0,372,1650,90480.0
332,Wangaratta,1328,899,429,1498,yes,61.016906292130116,636,1350,7888118.245845599
333,Bendigo,1249,882,367,5780,yes,89.37896469751543,478,1400,43942527.00181562
334,Charlton,586,415,171,7198,no,0,431,1650,70975.0
335,Bendigo,978,536,442,4652,yes,36.9973781134201,478,1400,14691602.719220703
336,Warragul,492,336,156,3226,yes,87.36716388512318,1018,1150,23958457.967749484
337,Ballarat,513,321,192,1469,yes,44.45974915504024,691,1150,5578256.099947961
338,Wangaratta,1078,699,379,3510,no,0,636,1350,97331.0
339,Alexandra,900,604,296,3269,yes,41.32060860973242,708,1350,11552358.892302422
340,Mildura,580,387,193,8613,yes,70.0780868556186,282,1950,51278845.044361286
341,Warnambool,986,648,338,6080,yes,73.57777439508163,741,1250,38056199.93449631
342,Warragul,1282,915,367,3995,yes,87.06842220175612,1018,1150,29630900.484090853
343,Alexandra,1182,922,260,3861,yes,64.04126920848628,708,1350,21106703.700933255
344,Bairnsdale,729,443,286,5115,yes,40.075952389223104,710,1100,17486905.69548326
345,Leongatha,1378,832,546,2596,no,0,952,1100,150176.0
346,Horsham,1087,685,402,9187,no,0,444,1550,74900.0
347,Portland,616,467,149,6871,yes,88.38213981561749,837,1350,51584127.448466666
348,Mildura,1014,702,312,7138,yes,47.695120032550605,282,1950,29008617.96766642
349,Horsham,1269,851,418,7269,no,0,444,1550,115674.0
350,Leongatha,503,348,155,4742,yes,89.28707278947812,952,1100,35973047.520363145
351,Hamilton,1203,866,337,3565,yes,69.09320965696547,687,1300,21042756.60828644
352,Leongatha,1093,846,247,5874,no,0,952,1100,88033.0
353,Ballarat,595,385,210,6194,no,0,691,1150,61950.0
354,Warragul,1208,822,386,6865,yes,65.26669338756707,1018,1150,38154089.99846634
355,Horsham,756,558,198,5973,no,0,444,1550,92718.0
356,Charlton,1526,1002,524,4163,no,0,431,1650,138268.0
357,Hamilton,650,454,196,5523,no,0,687,1300,46120.0
358,Colac,857,577,280,2923,no,0,726,1250,90240.0
359,Leongatha,1454,1056,398,6165,yes,80.70501754347411,952,1100,42414649.78190881
360,Kerang,377,244,133,7868,yes,80.7222586795012,372,1650,53929036.204609066
361,Alexandra,384,260,124,2067,yes,53.6577957555182,708,1350,9453488.038968306
362,Leongatha,753,501,252,3427,no,0,952,1100,94824.0
363,Hamilton,645,441,204,1768,yes,76.02940725531566,687,1300,11471896.723365275
364,Orbost,1053,702,351,5372,yes,65.54942306424908,845,1100,30010707.46450627
365,Benalla,811,576,235,5421,no,0,668,1350,75179.0
366,Warragul,664,410,254,1961,no,0,1018,1150,54600.0
367,Portland,1156,786,370,4180,no,0,837,1350,89518.0
368,Benalla,506,298,208,2078,no,0,668,1350,34240.0
369,Colac,599,377,222,5029,no,0,726,1250,53638.0
370,Alexandra,766,524,242,4869,yes,69.00151810486662,708,1350,28573059.399555784
371,Alexandra,1199,847,352,2733,yes,86.83859006827863,708,1350,20261689.78314611
372,Ballarat,1417,1024,393,2522,no,0,691,1150,172669.0
373,Kerang,1232,731,501,5518,no,0,372,1650,142001.0
374,Benalla,625,420,205,6173,yes,77.24691563689866,668,1350,40513702.99192946
375,Horsham,692,453,239,5505,no,0,444,1550,86742.0
376,Warragul,693,397,296,5180,no,0,1018,1150,55872.0
377,Mildura,989,621,368,1733,no,0,282,1950,122544.0
378,Warragul,1024,673,351,1730,yes,64.70954822617327,1018,1150,9600931.889262712
